_id,ANNO,ATENEO_CODICE,ATENEO_NOME,ATENEO_REGIONE,STUDENTI
ObjectId("5b1d949c66f28114a0dfc5ac"),2014,1201,Castellanza LIUC,Lombardia,1812
ObjectId("5b1d949c66f28114a0dfebd9"),2014,6307,Napoli Pegaso,Campania,6720
ObjectId("5b1d94a566f28114a0dffb2b"),2015,6307,Napoli Pegaso,Campania,7963
ObjectId("5b1d94ac66f28114a0dffe19"),2016,6307,Napoli Pegaso,Campania,21954
ObjectId("5b1d94a566f28114a0dffad9"),2015,3201,Trieste,Friuli-Venezia Giulia,15035
ObjectId("5b1d94ac66f28114a0dffc7c"),2016,3201,Trieste,Friuli-Venezia Giulia,14750
ObjectId("5b1d94ac66f28114a0dffb94"),2016,1201,Castellanza LIUC,Lombardia,2024
ObjectId("5b1d949c66f28114a0dfd23d"),2014,3201,Trieste,Friuli-Venezia Giulia,15513
ObjectId("5b1d94a566f28114a0dffaaf"),2015,1201,Castellanza LIUC,Lombardia,1938
ObjectId("5b1d94a566f28114a0dffaf1"),2015,5201,Siena,Toscana,15353
ObjectId("5b1d94ac66f28114a0dffd06"),2016,5201,Siena,Toscana,15277
ObjectId("5b1d94ac66f28114a0dffd9e"),2016,5813,Roma UNINETTUNO,Lazio,10637
ObjectId("5b1d949c66f28114a0dfe762"),2014,5813,Roma UNINETTUNO,Lazio,9277
ObjectId("5b1d94ac66f28114a0dffbce"),2016,1503,Milano Bocconi,Lombardia,13220
ObjectId("5b1d94a566f28114a0dffb11"),2015,5813,Roma UNINETTUNO,Lazio,9915
ObjectId("5b1d949c66f28114a0dfc8a1"),2014,1503,Milano Bocconi,Lombardia,13160
ObjectId("5b1d94a566f28114a0dffab9"),2015,1503,Milano Bocconi,Lombardia,13215
ObjectId("5b1d94a566f28114a0dffb01"),2015,5805,Roma LUISS,Lazio,8108
ObjectId("5b1d94ac66f28114a0dffd54"),2016,5805,Roma LUISS,Lazio,8640
ObjectId("5b1d949c66f28114a0dfe5f3"),2014,5805,Roma LUISS,Lazio,7696
ObjectId("5b1d949c66f28114a0dfebe8"),2014,6501,Salerno,Campania,34846
ObjectId("5b1d94a566f28114a0dffb2d"),2015,6501,Salerno,Campania,34769
ObjectId("5b1d94ac66f28114a0dffe23"),2016,6501,Salerno,Campania,35152
ObjectId("5b1d949c66f28114a0dfe79f"),2014,5816,Roma San Raffaele,Lazio,1390
ObjectId("5b1d94ac66f28114a0dffdb8"),2016,5816,Roma San Raffaele,Lazio,3024
ObjectId("5b1d94a566f28114a0dffb17"),2015,5816,Roma San Raffaele,Lazio,2037
ObjectId("5b1d94ac66f28114a0dffec0"),2016,8001,Reggio Calabria,Calabria,5824
ObjectId("5b1d94a566f28114a0dffb47"),2015,8001,Reggio Calabria,Calabria,6105
ObjectId("5b1d949c66f28114a0dff403"),2014,8001,Reggio Calabria,Calabria,6963
ObjectId("5b1d94ac66f28114a0dffc18"),2016,1701,Brescia,Lombardia,13862
ObjectId("5b1d949c66f28114a0dfcb80"),2014,1701,Brescia,Lombardia,14113
ObjectId("5b1d94a566f28114a0dffac7"),2015,1701,Brescia,Lombardia,13949
ObjectId("5b1d949c66f28114a0dfea6c"),2014,6303,Napoli L'Orientale,Campania,10270
ObjectId("5b1d94a566f28114a0dffb25"),2015,6303,Napoli L'Orientale,Campania,10486
ObjectId("5b1d94ac66f28114a0dffdf9"),2016,6303,Napoli L'Orientale,Campania,10805
ObjectId("5b1d94ac66f28114a0dffc5c"),2016,2702,Venezia Iuav,Veneto,4060
ObjectId("5b1d949c66f28114a0dfcf46"),2014,2702,Venezia Iuav,Veneto,4463
ObjectId("5b1d94a566f28114a0dffad3"),2015,2702,Venezia Iuav,Veneto,4219
ObjectId("5b1d949c66f28114a0dfe6db"),2014,5808,Roma Biomedico,Lazio,1640
ObjectId("5b1d94a566f28114a0dffb07"),2015,5808,Roma Biomedico,Lazio,1680
ObjectId("5b1d94ac66f28114a0dffd70"),2016,5808,Roma Biomedico,Lazio,1691
ObjectId("5b1d949c66f28114a0dfcc11"),2014,1801,Pavia,Lombardia,21165
ObjectId("5b1d94ac66f28114a0dffc24"),2016,1801,Pavia,Lombardia,21194
ObjectId("5b1d94a566f28114a0dffac9"),2015,1801,Pavia,Lombardia,21018
ObjectId("5b1d949c66f28114a0dff720"),2014,8601,Enna - KORE,Sicilia,5931
ObjectId("5b1d94a566f28114a0dffb4f"),2015,8601,Enna - KORE,Sicilia,5776
ObjectId("5b1d94ac66f28114a0dffeea"),2016,8601,Enna - KORE,Sicilia,5496
ObjectId("5b1d949c66f28114a0dfe17c"),2014,5801,Roma La Sapienza,Lazio,102305
ObjectId("5b1d94ac66f28114a0dffd30"),2016,5801,Roma La Sapienza,Lazio,100020
ObjectId("5b1d94a566f28114a0dffafb"),2015,5801,Roma La Sapienza,Lazio,99727
ObjectId("5b1d94ac66f28114a0dfff0c"),2016,9201,Cagliari,Sardegna,25379
ObjectId("5b1d94a566f28114a0dffb55"),2015,9201,Cagliari,Sardegna,26055
ObjectId("5b1d949c66f28114a0dff975"),2014,9201,Cagliari,Sardegna,26618
ObjectId("5b1d949c66f28114a0dfde78"),2014,5201,Siena,Toscana,15382
ObjectId("5b1d94ac66f28114a0dffeb6"),2016,7901,Catanzaro,Calabria,10008
ObjectId("5b1d949c66f28114a0dff3a3"),2014,7901,Catanzaro,Calabria,10358
ObjectId("5b1d94a566f28114a0dffb45"),2015,7901,Catanzaro,Calabria,10251
ObjectId("5b1d94a566f28114a0dffab1"),2015,1202,Insubria,Lombardia,8877
ObjectId("5b1d949c66f28114a0dfc5bc"),2014,1202,Insubria,Lombardia,8810
ObjectId("5b1d949c66f28114a0dfe752"),2014,5812,Roma Europea,Lazio,832
ObjectId("5b1d94a566f28114a0dffb0f"),2015,5812,Roma Europea,Lazio,656
ObjectId("5b1d94ac66f28114a0dffddc"),2016,6202,Benevento - Giustino Fortunato,Campania,218
ObjectId("5b1d94a566f28114a0dffb1f"),2015,6202,Benevento - Giustino Fortunato,Campania,775
ObjectId("5b1d94ac66f28114a0dffba0"),2016,1202,Insubria,Lombardia,9391
ObjectId("5b1d94ac66f28114a0dffd94"),2016,5812,Roma Europea,Lazio,807
ObjectId("5b1d94a566f28114a0dffaed"),2015,4804,Firenze IUL,Toscana,81
ObjectId("5b1d94ac66f28114a0dffcf4"),2016,4804,Firenze IUL,Toscana,95
ObjectId("5b1d94ac66f28114a0dffe9e"),2016,7601,Basilicata,Basilicata,6475
ObjectId("5b1d94a566f28114a0dffb41"),2015,7601,Basilicata,Basilicata,6538
ObjectId("5b1d949c66f28114a0dfe108"),2014,5601,Tuscia,Lazio,7508
ObjectId("5b1d949c66f28114a0dff236"),2014,7601,Basilicata,Basilicata,6980
ObjectId("5b1d94ac66f28114a0dffd26"),2016,5601,Tuscia,Lazio,7865
ObjectId("5b1d94a566f28114a0dffaf9"),2015,5601,Tuscia,Lazio,7646
ObjectId("5b1d949c66f28114a0dfe85c"),2014,6202,Benevento - Giustino Fortunato,Campania,623
ObjectId("5b1d949c66f28114a0dfc8df"),2014,1504,Milano Cattolica,Lombardia,36207
ObjectId("5b1d94a566f28114a0dffabb"),2015,1504,Milano Cattolica,Lombardia,36522
ObjectId("5b1d94ac66f28114a0dffbda"),2016,1504,Milano Cattolica,Lombardia,36815
ObjectId("5b1d94ac66f28114a0dffe0d"),2016,6306,Napoli II,Campania,25285
ObjectId("5b1d949c66f28114a0dfeaf9"),2014,6306,Napoli II,Campania,26132
ObjectId("5b1d94a566f28114a0dffb29"),2015,6306,Napoli II,Campania,25841
ObjectId("5b1d94ac66f28114a0dffb88"),2016,1001,Genova,Liguria,31496
ObjectId("5b1d94a566f28114a0dffaad"),2015,1001,Genova,Liguria,31226
ObjectId("5b1d949c66f28114a0dfc3f8"),2014,1001,Genova,Liguria,32008
ObjectId("5b1d94a566f28114a0dffac3"),2015,1510,Rozzano (MI) Humanitas University,Lombardia,343
ObjectId("5b1d94ac66f28114a0dffc70"),2016,3001,Udine,Friuli-Venezia Giulia,14982
ObjectId("5b1d94ac66f28114a0dffd5e"),2016,5806,Roma Foro Italico,Lazio,2200
ObjectId("5b1d949c66f28114a0dfcb26"),2014,1510,Rozzano (MI) Humanitas University,Lombardia,137
ObjectId("5b1d94a566f28114a0dffad7"),2015,3001,Udine,Friuli-Venezia Giulia,14856
ObjectId("5b1d94ac66f28114a0dffc04"),2016,1510,Rozzano (MI) Humanitas University,Lombardia,523
ObjectId("5b1d94ac66f28114a0dffb6c"),2016,201,Piemonte Orientale,Piemonte,11623
ObjectId("5b1d949c66f28114a0dfc34f"),2014,201,Piemonte Orientale,Piemonte,10367
ObjectId("5b1d949c66f28114a0dfe612"),2014,5806,Roma Foro Italico,Lazio,2198
ObjectId("5b1d94a566f28114a0dffaa7"),2015,201,Piemonte Orientale,Piemonte,10888
ObjectId("5b1d94a566f28114a0dffb03"),2015,5806,Roma Foro Italico,Lazio,2226
ObjectId("5b1d94a566f28114a0dffb1b"),2015,6001,Cassino,Lazio,7887
ObjectId("5b1d949c66f28114a0dfe7c1"),2014,6001,Cassino,Lazio,8259
ObjectId("5b1d949c66f28114a0dfcea5"),2014,2701,Venezia C� Foscari,Veneto,18973
ObjectId("5b1d94ac66f28114a0dffdc8"),2016,6001,Cassino,Lazio,7561
ObjectId("5b1d949c66f28114a0dfe61c"),2014,5807,Roma Tre,Lazio,34761
ObjectId("5b1d94a566f28114a0dffad1"),2015,2701,Venezia C� Foscari,Veneto,19660
ObjectId("5b1d94a566f28114a0dffb4d"),2015,8301,Messina,Sicilia,23660
ObjectId("5b1d94ac66f28114a0dffc54"),2016,2701,Venezia C� Foscari,Veneto,19603
ObjectId("5b1d94ac66f28114a0dffede"),2016,8301,Messina,Sicilia,22762
ObjectId("5b1d94a566f28114a0dffb05"),2015,5807,Roma Tre,Lazio,33973
ObjectId("5b1d949c66f28114a0dff5e6"),2014,8301,Messina,Sicilia,25427
ObjectId("5b1d94ac66f28114a0dffd64"),2016,5807,Roma Tre,Lazio,32214
ObjectId("5b1d949c66f28114a0dfca47"),2014,1508,Milano San Raffaele,Lombardia,2138
ObjectId("5b1d949c66f28114a0dfdfa5"),2014,5401,Perugia,Umbria,22500
ObjectId("5b1d94a566f28114a0dffaf5"),2015,5401,Perugia,Umbria,21630
ObjectId("5b1d94ac66f28114a0dffbee"),2016,1508,Milano San Raffaele,Lombardia,2456
ObjectId("5b1d94a566f28114a0dffabf"),2015,1508,Milano San Raffaele,Lombardia,2312
ObjectId("5b1d94ac66f28114a0dffd16"),2016,5401,Perugia,Umbria,23037
ObjectId("5b1d949c66f28114a0dff169"),2014,7203,Casamassima - J.Monnet,Puglia,1213
ObjectId("5b1d94ac66f28114a0dffdbe"),2016,5817,Roma - Link Campus,Lazio,1487
ObjectId("5b1d94a566f28114a0dffb19"),2015,5817,Roma - Link Campus,Lazio,1729
ObjectId("5b1d949c66f28114a0dfe7aa"),2014,5817,Roma - Link Campus,Lazio,1607
ObjectId("5b1d949c66f28114a0dfc3dd"),2014,401,Bra - Scienze Gastronomiche,Piemonte,293
ObjectId("5b1d94a566f28114a0dffaa9"),2015,401,Bra - Scienze Gastronomiche,Piemonte,281
ObjectId("5b1d94ac66f28114a0dffb76"),2016,401,Bra - Scienze Gastronomiche,Piemonte,291
ObjectId("5b1d949c66f28114a0dff2ab"),2014,7801,Calabria,Calabria,28728
ObjectId("5b1d94ac66f28114a0dffd3c"),2016,5802,Roma Tor Vergata,Lazio,29222
ObjectId("5b1d94a566f28114a0dffb43"),2015,7801,Calabria,Calabria,27323
ObjectId("5b1d94ac66f28114a0dffeaa"),2016,7801,Calabria,Calabria,25487
ObjectId("5b1d94a566f28114a0dffafd"),2015,5802,Roma Tor Vergata,Lazio,29687
ObjectId("5b1d94a566f28114a0dffb23"),2015,6302,Napoli Parthenope,Campania,13507
ObjectId("5b1d949c66f28114a0dfe48c"),2014,5802,Roma Tor Vergata,Lazio,30186
ObjectId("5b1d949c66f28114a0dfea17"),2014,6302,Napoli Parthenope,Campania,14249
ObjectId("5b1d94ac66f28114a0dffdef"),2016,6302,Napoli Parthenope,Campania,12799
ObjectId("5b1d94ac66f28114a0dffc3c"),2016,2201,Trento,Trentino-Alto Adige,16180
ObjectId("5b1d94a566f28114a0dffaff"),2015,5803,Roma LUMSA,Lazio,5923
ObjectId("5b1d94ac66f28114a0dffd48"),2016,5803,Roma LUMSA,Lazio,5461
ObjectId("5b1d94ac66f28114a0dffd8a"),2016,5811,Roma UNITELMA,Lazio,1461
ObjectId("5b1d94ac66f28114a0dffcc4"),2016,4201,Marche,Marche,15336
ObjectId("5b1d949c66f28114a0dfcd45"),2014,2201,Trento,Trentino-Alto Adige,16529
ObjectId("5b1d949c66f28114a0dfe73f"),2014,5811,Roma UNITELMA,Lazio,1538
ObjectId("5b1d94a566f28114a0dffae5"),2015,4201,Marche,Marche,15431
ObjectId("5b1d949c66f28114a0dfd96c"),2014,4201,Marche,Marche,15705
ObjectId("5b1d94a566f28114a0dffacd"),2015,2201,Trento,Trentino-Alto Adige,16206
ObjectId("5b1d94a566f28114a0dffb0d"),2015,5811,Roma UNITELMA,Lazio,1476
ObjectId("5b1d94ac66f28114a0dffdd2"),2016,6201,Sannio,Campania,5128
ObjectId("5b1d949c66f28114a0dfe5b9"),2014,5803,Roma LUMSA,Lazio,5931
ObjectId("5b1d949c66f28114a0dfc077"),2014,101,Torino,Piemonte,63238
ObjectId("5b1d94ac66f28114a0dffb5a"),2016,101,Torino,Piemonte,67958
ObjectId("5b1d94a566f28114a0dffaa3"),2015,101,Torino,Piemonte,64886
ObjectId("5b1d94ac66f28114a0dffc64"),2016,2801,Padova,Veneto,57272
ObjectId("5b1d949c66f28114a0dfcf75"),2014,2801,Padova,Veneto,57765
ObjectId("5b1d94ac66f28114a0dffbe6"),2016,1505,Milano IULM,Lombardia,5206
ObjectId("5b1d94a566f28114a0dffad5"),2015,2801,Padova,Veneto,58505
ObjectId("5b1d949c66f28114a0dfca29"),2014,1505,Milano IULM,Lombardia,4298
ObjectId("5b1d94ac66f28114a0dffce8"),2016,4801,Firenze,Toscana,49917
ObjectId("5b1d94a566f28114a0dffabd"),2015,1505,Milano IULM,Lombardia,4654
ObjectId("5b1d94a566f28114a0dffb3d"),2015,7203,Casamassima - J.Monnet,Puglia,997
ObjectId("5b1d94ac66f28114a0dffe88"),2016,7203,Casamassima - J.Monnet,Puglia,1363
ObjectId("5b1d949c66f28114a0dfdafa"),2014,4801,Firenze,Toscana,49231
ObjectId("5b1d94a566f28114a0dffaeb"),2015,4801,Firenze,Toscana,50426
ObjectId("5b1d94ac66f28114a0dffed2"),2016,8201,Palermo,Sicilia,39726
ObjectId("5b1d94a566f28114a0dffb1d"),2015,6201,Sannio,Campania,5470
ObjectId("5b1d94a566f28114a0dffb4b"),2015,8201,Palermo,Sicilia,40075
ObjectId("5b1d949c66f28114a0dfe823"),2014,6201,Sannio,Campania,5711
ObjectId("5b1d949c66f28114a0dff44d"),2014,8201,Palermo,Sicilia,41842
ObjectId("5b1d949c66f28114a0dff8ac"),2014,9001,Sassari,Sardegna,12782
ObjectId("5b1d94a566f28114a0dffb53"),2015,9001,Sassari,Sardegna,12411
ObjectId("5b1d94ac66f28114a0dfff00"),2016,9001,Sassari,Sardegna,12893
ObjectId("5b1d94a566f28114a0dffb35"),2015,7001,Molise,Molise,6919
ObjectId("5b1d94ac66f28114a0dffe5a"),2016,7001,Molise,Molise,6935
ObjectId("5b1d949c66f28114a0dfeeb9"),2014,7001,Molise,Molise,6993
ObjectId("5b1d949c66f28114a0dfd15b"),2014,3001,Udine,Friuli-Venezia Giulia,14932
ObjectId("5b1d94ac66f28114a0dffef4"),2016,8701,Catania,Sicilia,43346
ObjectId("5b1d94a566f28114a0dffb51"),2015,8701,Catania,Sicilia,45159
ObjectId("5b1d949c66f28114a0dff759"),2014,8701,Catania,Sicilia,46748
ObjectId("5b1d949c66f28114a0dfe864"),2014,6301,Napoli Federico II,Campania,77979
ObjectId("5b1d949c66f28114a0dfd360"),2014,3401,Parma,Emilia-Romagna,23207
ObjectId("5b1d94a566f28114a0dffadb"),2015,3401,Parma,Emilia-Romagna,22869
ObjectId("5b1d94ac66f28114a0dffc88"),2016,3401,Parma,Emilia-Romagna,23851
ObjectId("5b1d94a566f28114a0dffb13"),2015,5814,Roma  Mercatorum,Lazio,71
ObjectId("5b1d94ac66f28114a0dffda8"),2016,5814,Roma  Mercatorum,Lazio,331
ObjectId("5b1d94ac66f28114a0dffecc"),2016,8003,Reggio Calabria - Dante Alighieri,Calabria,938
ObjectId("5b1d949c66f28114a0dff10c"),2014,7202,Bari Politecnico,Puglia,10226
ObjectId("5b1d94a566f28114a0dffb49"),2015,8003,Reggio Calabria - Dante Alighieri,Calabria,955
ObjectId("5b1d949c66f28114a0dff448"),2014,8003,Reggio Calabria - Dante Alighieri,Calabria,892
ObjectId("5b1d94a566f28114a0dffb3b"),2015,7202,Bari Politecnico,Puglia,9770
ObjectId("5b1d949c66f28114a0dfcde0"),2014,2301,Verona,Veneto,21989
ObjectId("5b1d94a566f28114a0dffac1"),2015,1509,Milano Bicocca,Lombardia,31857
ObjectId("5b1d949c66f28114a0dfca5f"),2014,1509,Milano Bicocca,Lombardia,31593
ObjectId("5b1d949c66f28114a0dfe77f"),2014,5814,Roma  Mercatorum,Lazio,264
ObjectId("5b1d94ac66f28114a0dffc48"),2016,2301,Verona,Veneto,22997
ObjectId("5b1d94ac66f28114a0dffde5"),2016,6301,Napoli Federico II,Campania,74037
ObjectId("5b1d94a566f28114a0dffacf"),2015,2301,Verona,Veneto,22640
ObjectId("5b1d94a566f28114a0dffb21"),2015,6301,Napoli Federico II,Campania,75982
ObjectId("5b1d949c66f28114a0dfc3e0"),2014,701,Aosta,Valle d'Aosta,1152
ObjectId("5b1d94ac66f28114a0dffb7c"),2016,701,Aosta,Valle d'Aosta,1057
ObjectId("5b1d94a566f28114a0dffaab"),2015,701,Aosta,Valle d'Aosta,1116
ObjectId("5b1d94ac66f28114a0dffbf8"),2016,1509,Milano Bicocca,Lombardia,32683
ObjectId("5b1d94a566f28114a0dffae9"),2015,4302,Camerino,Marche,6395
ObjectId("5b1d949c66f28114a0dfda98"),2014,4302,Camerino,Marche,6317
ObjectId("5b1d94a566f28114a0dffb3f"),2015,7501,Salento,Puglia,16974
ObjectId("5b1d949c66f28114a0dff171"),2014,7501,Salento,Puglia,17909
ObjectId("5b1d94ac66f28114a0dffcdc"),2016,4302,Camerino,Marche,6895
ObjectId("5b1d94ac66f28114a0dffe92"),2016,7501,Salento,Puglia,16585
ObjectId("5b1d949c66f28114a0dfc7c3"),2014,1502,Milano Politecnico,Lombardia,39772
ObjectId("5b1d94ac66f28114a0dffb66"),2016,102,Torino Politecnico,Piemonte,30839
ObjectId("5b1d949c66f28114a0dfc282"),2014,102,Torino Politecnico,Piemonte,29446
ObjectId("5b1d94a566f28114a0dffaa5"),2015,102,Torino Politecnico,Piemonte,30183
ObjectId("5b1d94a566f28114a0dffab7"),2015,1502,Milano Politecnico,Lombardia,41109
ObjectId("5b1d94ac66f28114a0dffbc2"),2016,1502,Milano Politecnico,Lombardia,42665
ObjectId("5b1d949c66f28114a0dfee04"),2014,6901,Chieti e Pescara,Abruzzo,27295
ObjectId("5b1d94ac66f28114a0dffe47"),2016,6901,Chieti e Pescara,Abruzzo,24947
ObjectId("5b1d94a566f28114a0dffb33"),2015,6901,Chieti e Pescara,Abruzzo,25426
ObjectId("5b1d94a566f28114a0dffac5"),2015,1601,Bergamo,Lombardia,15614
ObjectId("5b1d94ac66f28114a0dffd10"),2016,5202,Siena Stranieri,Toscana,1864
ObjectId("5b1d94ac66f28114a0dffc0c"),2016,1601,Bergamo,Lombardia,16715
ObjectId("5b1d949c66f28114a0dfdf98"),2014,5202,Siena Stranieri,Toscana,1384
ObjectId("5b1d94a566f28114a0dffaf3"),2015,5202,Siena Stranieri,Toscana,1621
ObjectId("5b1d949c66f28114a0dfef19"),2014,7101,Foggia,Puglia,9174
ObjectId("5b1d94ac66f28114a0dffc94"),2016,3601,Modena e Reggio Emilia,Emilia-Romagna,22065
ObjectId("5b1d94ac66f28114a0dffe7c"),2016,7202,Bari Politecnico,Puglia,9621
ObjectId("5b1d94a566f28114a0dffadd"),2015,3601,Modena e Reggio Emilia,Emilia-Romagna,20778
ObjectId("5b1d94a566f28114a0dffb37"),2015,7101,Foggia,Puglia,8983
ObjectId("5b1d949c66f28114a0dfd471"),2014,3601,Modena e Reggio Emilia,Emilia-Romagna,19673
ObjectId("5b1d94ac66f28114a0dffe66"),2016,7101,Foggia,Puglia,9444
ObjectId("5b1d949c66f28114a0dfcb2a"),2014,1601,Bergamo,Lombardia,14855
ObjectId("5b1d949c66f28114a0dfd8b7"),2014,4101,Urbino Carlo Bo,Marche,13877
ObjectId("5b1d94ac66f28114a0dffcb8"),2016,4101,Urbino Carlo Bo,Marche,13703
ObjectId("5b1d94a566f28114a0dffae3"),2015,4101,Urbino Carlo Bo,Marche,13813
ObjectId("5b1d94a566f28114a0dffab3"),2015,1301,Novedrate e-Campus,Lombardia,7840
ObjectId("5b1d949c66f28114a0dfc626"),2014,1301,Novedrate e-Campus,Lombardia,7624
ObjectId("5b1d94ac66f28114a0dffbac"),2016,1301,Novedrate e-Campus,Lombardia,8925
ObjectId("5b1d94a566f28114a0dffb0b"),2015,5810,Roma Marconi,Lazio,14141
ObjectId("5b1d94ac66f28114a0dffd80"),2016,5810,Roma Marconi,Lazio,8169
ObjectId("5b1d949c66f28114a0dfe701"),2014,5810,Roma Marconi,Lazio,13993
ObjectId("5b1d94a566f28114a0dffadf"),2015,3701,Bologna,Emilia-Romagna,78026
ObjectId("5b1d949c66f28114a0dfd550"),2014,3701,Bologna,Emilia-Romagna,76890
ObjectId("5b1d94ac66f28114a0dffcfa"),2016,5001,Pisa,Toscana,44846
ObjectId("5b1d94a566f28114a0dffaef"),2015,5001,Pisa,Toscana,44923
ObjectId("5b1d949c66f28114a0dfdcb5"),2014,5001,Pisa,Toscana,45279
ObjectId("5b1d949c66f28114a0dfedbc"),2014,6701,Teramo,Abruzzo,6223
ObjectId("5b1d94a566f28114a0dffb31"),2015,6701,Teramo,Abruzzo,5999
ObjectId("5b1d94ac66f28114a0dffca0"),2016,3701,Bologna,Emilia-Romagna,78657
ObjectId("5b1d94ac66f28114a0dffe3b"),2016,6701,Teramo,Abruzzo,6052
ObjectId("5b1d94a566f28114a0dffb09"),2015,5809,Roma UNINT,Lazio,1402
ObjectId("5b1d94ac66f28114a0dffd7a"),2016,5809,Roma UNINT,Lazio,1377
ObjectId("5b1d949c66f28114a0dfe6ee"),2014,5809,Roma UNINT,Lazio,1294
ObjectId("5b1d949c66f28114a0dfeabd"),2014,6304,Napoli Benincasa,Campania,7953
ObjectId("5b1d94a566f28114a0dffb27"),2015,6304,Napoli Benincasa,Campania,8019
ObjectId("5b1d94a566f28114a0dffacb"),2015,2101,Bolzano,Trentino-Alto Adige,3032
ObjectId("5b1d94ac66f28114a0dffc30"),2016,2101,Bolzano,Trentino-Alto Adige,3287
ObjectId("5b1d94ac66f28114a0dffe01"),2016,6304,Napoli Benincasa,Campania,8139
ObjectId("5b1d949c66f28114a0dfcd15"),2014,2101,Bolzano,Trentino-Alto Adige,2632
ObjectId("5b1d949c66f28114a0dfecbe"),2014,6601,L'Aquila,Abruzzo,20880
ObjectId("5b1d94a566f28114a0dffb2f"),2015,6601,L'Aquila,Abruzzo,18063
ObjectId("5b1d94ac66f28114a0dffcac"),2016,3801,Ferrara,Emilia-Romagna,15488
ObjectId("5b1d94a566f28114a0dffae1"),2015,3801,Ferrara,Emilia-Romagna,15455
ObjectId("5b1d94a566f28114a0dffb57"),2015,6902,Torrevecchia Teatina - Leonardo da Vinci,Abruzzo,98
ObjectId("5b1d94ac66f28114a0dffe2f"),2016,6601,L'Aquila,Abruzzo,16919
ObjectId("5b1d94ac66f28114a0dffe53"),2016,6902,Torrevecchia Teatina - Leonardo da Vinci,Abruzzo,134
ObjectId("5b1d949c66f28114a0dfd7f5"),2014,3801,Ferrara,Emilia-Romagna,15515
ObjectId("5b1d949c66f28114a0dfda18"),2014,4301,Macerata,Marche,9685
ObjectId("5b1d94ac66f28114a0dffcd0"),2016,4301,Macerata,Marche,10161
ObjectId("5b1d94a566f28114a0dffae7"),2015,4301,Macerata,Marche,9956
ObjectId("5b1d949c66f28114a0dfc655"),2014,1501,Milano,Lombardia,60440
ObjectId("5b1d94a566f28114a0dffab5"),2015,1501,Milano,Lombardia,60134
ObjectId("5b1d94ac66f28114a0dffdae"),2016,5815,Roma UNICUSANO,Lazio,20647
ObjectId("5b1d949c66f28114a0dfe0f9"),2014,5403,Perugia Stranieri,Umbria,936
ObjectId("5b1d94a566f28114a0dffb15"),2015,5815,Roma UNICUSANO,Lazio,17322
ObjectId("5b1d949c66f28114a0dfe786"),2014,5815,Roma UNICUSANO,Lazio,14872
ObjectId("5b1d94a566f28114a0dffb39"),2015,7201,Bari,Puglia,46011
ObjectId("5b1d94ac66f28114a0dffd20"),2016,5403,Perugia Stranieri,Umbria,875
ObjectId("5b1d94a566f28114a0dffaf7"),2015,5403,Perugia Stranieri,Umbria,858
ObjectId("5b1d94ac66f28114a0dffe70"),2016,7201,Bari,Puglia,44278
ObjectId("5b1d949c66f28114a0dfef7d"),2014,7201,Bari,Puglia,48371
ObjectId("5b1d94ac66f28114a0dffbb6"),2016,1501,Milano,Lombardia,59596
